Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/10/2026,"POS DEBIT                HIGHLEVEL INC.            +18887324197 TX                                                                                                                                                                                                                                                                        2474",-100.00,MISC_DEBIT, ,,
DEBIT,07/10/2026,"POS DEBIT                TWILIO INC                +18778894546 CA                                                                                                                                                                                                                                                                        5442",-90.01,MISC_DEBIT, ,,
DEBIT,07/10/2026,"ORIG CO NAME:Wise Inc         CO ENTRY DESCR:WISE       SEC:CCD IND ID:TrnWise         ORIG ID:9453233521",-100.00,MISC_DEBIT, ,,
DEBIT,07/10/2026,"ORIG CO NAME:Wise Inc         CO ENTRY DESCR:WISE       SEC:CCD IND ID:TrnWise         ORIG ID:9453233521",-4507.65,MISC_DEBIT, ,,
DEBIT,07/09/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260709 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000027705572 EED:260709   IND ID:TrnWise                      IND NAME:Waiz Media                 99957654                                                                          99957654 TRN: 1907705572TC",-100.00,MISC_DEBIT,26497.86,,
DEBIT,07/09/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              07/08",-100.00,DEBIT_CARD,26597.86,,
DEBIT,07/08/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 29934013740 reference#: 9934013740RX 07/08",-1000.00,ACCT_XFER,26697.86,,
DEBIT,07/08/2026,"ANTHROPIC ANTHROPIC.COM CA                   07/07",-45.00,DEBIT_CARD,27697.86,,
DEBIT,07/08/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    07/07",-40.22,DEBIT_CARD,27742.86,,
CREDIT,07/08/2026,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000029685764 EED:260708   IND ID:ST-U7F9W7B6T8M9              IND NAME:GABRIEL GOERTZEN TRN: 1899685764TC",970.70,ACH_CREDIT,27783.08,,
DEBIT,07/07/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260707 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000028944534 EED:260707   IND ID:TrnWise                      IND NAME:Waiz Media                 99812462                                                                          99812462 TRN: 1888944534TC",-100.00,MISC_DEBIT,26812.38,,
DEBIT,07/07/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260707 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000028654094 EED:260707   IND ID:TrnWise                      IND NAME:Waiz Media                 99789721                                                                          99789721 TRN: 1888654094TC",-980.81,MISC_DEBIT,26912.38,,
DEBIT,07/07/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 29916473637 reference#: 9916473637RX 07/07",-2000.00,ACCT_XFER,27893.19,,
DEBIT,07/07/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              07/07",-100.00,DEBIT_CARD,29893.19,,
DEBIT,07/07/2026,"SLACK T07E9KEFKEH SLACK.COM CA               07/07",-61.25,DEBIT_CARD,29993.19,,
